192.168.0.121 - - [29/Jan/2015:12:35:25 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:12:35:27 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:35:27 +0800] "GET /videotest/VideoTest7.jsp HTTP/1.1" 200 7104
192.168.0.121 - - [29/Jan/2015:12:35:28 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:12:35:33 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:35:33 +0800] "GET /videotest/VideoTest6.jsp HTTP/1.1" 200 7104
192.168.0.121 - - [29/Jan/2015:12:35:33 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:35:33 +0800] "GET /videotest/VideoTest5.jsp HTTP/1.1" 200 7104
192.168.0.121 - - [29/Jan/2015:12:35:34 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:12:35:36 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:35:47 +0800] "GET /videotest/VideoTest4.jsp HTTP/1.1" 200 7084
192.168.0.121 - - [29/Jan/2015:12:35:48 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:12:35:52 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:35:53 +0800] "GET /videotest/VideoTest5.jsp HTTP/1.1" 200 7104
192.168.0.121 - - [29/Jan/2015:12:35:53 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:12:35:55 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:35:56 +0800] "GET /videotest/VideoTest6.jsp HTTP/1.1" 200 7104
192.168.0.121 - - [29/Jan/2015:12:35:56 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:12:35:57 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:35:57 +0800] "GET /videotest/VideoTest7.jsp HTTP/1.1" 200 7084
192.168.0.121 - - [29/Jan/2015:12:35:58 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:35:58 +0800] "GET /videotest/VideoTest7.jsp HTTP/1.1" 200 7084
192.168.0.121 - - [29/Jan/2015:12:35:59 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:12:36:06 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:36:06 +0800] "GET /videotest/VideoTest6.jsp HTTP/1.1" 200 7104
192.168.0.121 - - [29/Jan/2015:12:36:07 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:12:36:09 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:36:09 +0800] "GET /videotest/VideoTest7.jsp HTTP/1.1" 200 7084
192.168.0.121 - - [29/Jan/2015:12:36:10 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:12:36:36 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:36:36 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:36:36 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:36:36 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:36:36 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:36:36 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
